Exif.Image.ProcessingSoftware	The name and version of the software used to post-process the picture.
Exif.Image.NewSubfileType	A general indication of the kind of data contained in this subfile.
Exif.Image.SubfileType	A general indication of the kind of data contained in this subfile. This field is deprecated. The NewSubfileType field should be used instead.
Exif.Image.ImageWidth	The number of columns of image data, equal to the number of pixels per row. In JPEG compressed data a JPEG marker is used instead of this tag.
Exif.Image.ImageLength	The number of rows of image data. In JPEG compressed data a JPEG marker is used instead of this tag.
Exif.Image.BitsPerSample	The number of bits per image component. In this standard each component of the image is 8 bits, so the value for this tag is 8. See also <SamplesPerPixel>. In JPEG compressed data a JPEG marker is used instead of this tag.
Exif.Image.Compression	The compression scheme used for the image data. When a primary image is JPEG compressed, this designation is not necessary and is omitted. When thumbnails use JPEG compression, this tag value is set to 6.
Exif.Image.PhotometricInterpretation	The pixel composition. In JPEG compressed data a JPEG marker is used instead of this tag.
Exif.Image.Threshholding	For black and white TIFF files that represent shades of gray, the technique used to convert from gray to black and white pixels.
Exif.Image.CellWidth	The width of the dithering or halftoning matrix used to create a dithered or halftoned bilevel file.
Exif.Image.CellLength	The length of the dithering or halftoning matrix used to create a dithered or halftoned bilevel file.
Exif.Image.FillOrder	The logical order of bits within a byte
Exif.Image.DocumentName	The name of the document from which this image was scanned
Exif.Image.ImageDescription	A character string giving the title of the image. It may be a comment such as '1988 company picnic' or the like. Two-bytes character codes cannot be used. When a 2-bytes code is necessary, the Exif Private tag <UserComment> is to be used.
Exif.Image.Make	The manufacturer of the recording equipment. This is the manufacturer of the DSC, scanner, video digitizer or other equipment that generated the image. When the field is left blank, it is treated as unknown.
Exif.Image.Model	The model name or model number of the equipment. This is the model name or number of the DSC, scanner, video digitizer or other equipment that generated the image. When the field is left blank, it is treated as unknown.
Exif.Image.StripOffsets	For each strip, the byte offset of that strip. It is recommended that this be selected so the number of strip bytes does not exceed 64 Kbytes. With JPEG compressed data this designation is not needed and is omitted. See also <RowsPerStrip> and <StripByteCounts>.
Exif.Image.Orientation	The image orientation viewed in terms of rows and columns.
Exif.Image.SamplesPerPixel	The number of components per pixel. Since this standard applies to RGB and YCbCr images, the value set for this tag is 3. In JPEG compressed data a JPEG marker is used instead of this tag.
Exif.Image.RowsPerStrip	The number of rows per strip. This is the number of rows in the image of one strip when an image is divided into strips. With JPEG compressed data this designation is not needed and is omitted. See also <StripOffsets> and <StripByteCounts>.
Exif.Image.StripByteCounts	The total number of bytes in each strip. With JPEG compressed data this designation is not needed and is omitted.
Exif.Image.XResolution	The number of pixels per <ResolutionUnit> in the <ImageWidth> direction. When the image resolution is unknown, 72 [dpi] is designated.
Exif.Image.YResolution	The number of pixels per <ResolutionUnit> in the <ImageLength> direction. The same value as <XResolution> is designated.
Exif.Image.PlanarConfiguration	Indicates whether pixel components are recorded in a chunky or planar format. In JPEG compressed files a JPEG marker is used instead of this tag. If this field does not exist, the TIFF default of 1 (chunky) is assumed.
Exif.Image.GrayResponseUnit	The precision of the information contained in the GrayResponseCurve.
Exif.Image.GrayResponseCurve	For grayscale data, the optical density of each possible pixel value.
Exif.Image.T4Options	T.4-encoding options.
Exif.Image.T6Options	T.6-encoding options.
Exif.Image.ResolutionUnit	The unit for measuring <XResolution> and <YResolution>. The same unit is used for both <XResolution> and <YResolution>. If the image resolution is unknown, 2 (inches) is designated.
Exif.Image.TransferFunction	A transfer function for the image, described in tabular style. Normally this tag is not necessary, since color space is specified in the color space information tag (<ColorSpace>).
Exif.Image.Software	This tag records the name and version of the software or firmware of the camera or image input device used to generate the image. The detailed format is not specified, but it is recommended that the example shown below be followed. When the field is left blank, it is treated as unknown.
Exif.Image.DateTime	The date and time of image creation. In Exif standard, it is the date and time the file was changed.
Exif.Image.Artist	This tag records the name of the camera owner, photographer or image creator. The detailed format is not specified, but it is recommended that the information be written as in the example below for ease of Interoperability. When the field is left blank, it is treated as unknown. Ex.) 'Camera owner, John Smith; Photographer, Michael Brown; Image creator, Ken James'
Exif.Image.HostComputer	This tag records information about the host computer used to generate the image.
Exif.Image.Predictor	A predictor is a mathematical operator that is applied to the image data before an encoding scheme is applied.
Exif.Image.WhitePoint	The chromaticity of the white point of the image. Normally this tag is not necessary, since color space is specified in the colorspace information tag (<ColorSpace>).
Exif.Image.PrimaryChromaticities	The chromaticity of the three primary colors of the image. Normally this tag is not necessary, since colorspace is specified in the colorspace information tag (<ColorSpace>).
Exif.Image.ColorMap	A color map for palette color images. This field defines a Red-Green-Blue color map (often called a lookup table) for palette-color images. In a palette-color image, a pixel value is used to index into an RGB lookup table.
Exif.Image.HalftoneHints	The purpose of the HalftoneHints field is to convey to the halftone function the range of gray levels within a colorimetrically-specified image that should retain tonal detail.
Exif.Image.TileWidth	The tile width in pixels. This is the number of columns in each tile.
Exif.Image.TileLength	The tile length (height) in pixels. This is the number of rows in each tile.
Exif.Image.TileOffsets	For each tile, the byte offset of that tile, as compressed and stored on disk. The offset is specified with respect to the beginning of the TIFF file. Note that this implies that each tile has a location independent of the locations of other tiles.
Exif.Image.TileByteCounts	For each tile, the number of (compressed) bytes in that tile. See TileOffsets for a description of how the byte counts are ordered.
Exif.Image.SubIFDs	Defined by Adobe Corporation to enable TIFF Trees within a TIFF file.
Exif.Image.InkSet	The set of inks used in a separated (PhotometricInterpretation=5) image.
Exif.Image.InkNames	The name of each ink used in a separated (PhotometricInterpretation=5) image.
Exif.Image.NumberOfInks	The number of inks. Usually equal to SamplesPerPixel, unless there are extra samples.
Exif.Image.DotRange	The component values that correspond to a 0% dot and 100% dot.
Exif.Image.TargetPrinter	A description of the printing environment for which this separation is intended.
Exif.Image.ExtraSamples	Specifies that each pixel has m extra components whose interpretation is defined by one of the values listed below.
Exif.Image.SampleFormat	This field specifies how to interpret each data sample in a pixel.
Exif.Image.SMinSampleValue	This field specifies the minimum sample value.
Exif.Image.SMaxSampleValue	This field specifies the maximum sample value.
Exif.Image.TransferRange	Expands the range of the TransferFunction
Exif.Image.ClipPath	A TIFF ClipPath is intended to mirror the essentials of PostScript's path creation functionality.
Exif.Image.XClipPathUnits	The number of units that span the width of the image, in terms of integer ClipPath coordinates.
Exif.Image.YClipPathUnits	The number of units that span the height of the image, in terms of integer ClipPath coordinates.
